"kBET.expected","kBET.observed","kBET.signif"
0.0175438596491228,0.280701754385965,0
0.0175438596491228,0.350877192982456,0
0,0.333333333333333,2.61679566904149e-11
0.0175438596491228,0.210526315789474,0
0.0175438596491228,0.315789473684211,0
0.0116959064327485,0.263157894736842,0
0.0116959064327485,0.350877192982456,0
0.0233918128654971,0.333333333333333,0
0,0.350877192982456,2.25797158748264e-12
0.0175438596491228,0.385964912280702,0
0.00584795321637427,0.298245614035088,0
0.0292397660818713,0.403508771929825,0
0.0175438596491228,0.368421052631579,0
0.0292397660818713,0.280701754385965,0
0.00584795321637427,0.280701754385965,0
0.0116959064327485,0.298245614035088,0
0.0233918128654971,0.403508771929825,0
0.0116959064327485,0.315789473684211,0
0.0175438596491228,0.263157894736842,0
0.00584795321637427,0.228070175438596,0
0.0116959064327485,0.350877192982456,0
0,0.315789473684211,2.68785660395565e-10
0.0175438596491228,0.333333333333333,0
0.0175438596491228,0.403508771929825,0
0.0175438596491228,0.385964912280702,0
0.0292397660818713,0.368421052631579,0
0.00584795321637427,0.298245614035088,0
0.00584795321637427,0.350877192982456,0
0.0116959064327485,0.228070175438596,0
0.0233918128654971,0.368421052631579,0
0,0.315789473684211,2.68785660395565e-10
0.0175438596491228,0.315789473684211,0
0.0116959064327485,0.280701754385965,0
0.0233918128654971,0.280701754385965,0
0.0116959064327485,0.315789473684211,0
0.0116959064327485,0.263157894736842,0
0.0233918128654971,0.263157894736842,0
0.0116959064327485,0.350877192982456,0
0.0350877192982456,0.315789473684211,0
0.0116959064327485,0.228070175438596,0
0.0175438596491228,0.157894736842105,2.22044604925031e-16
0.0175438596491228,0.385964912280702,0
0.0292397660818713,0.333333333333333,0
0.00584795321637427,0.333333333333333,0
0.0175438596491228,0.263157894736842,0
0.0175438596491228,0.350877192982456,0
0.0233918128654971,0.333333333333333,0
0,0.315789473684211,2.68785660395565e-10
0.0116959064327485,0.333333333333333,0
0.0233918128654971,0.263157894736842,0
0.0116959064327485,0.280701754385965,0
0.00584795321637427,0.403508771929825,0
0.0116959064327485,0.263157894736842,0
0.0350877192982456,0.263157894736842,0
0.0116959064327485,0.333333333333333,0
0.0292397660818713,0.228070175438596,0
0.0175438596491228,0.315789473684211,0
0.0233918128654971,0.403508771929825,0
0.0175438596491228,0.333333333333333,0
0.00584795321637427,0.228070175438596,0
0.0116959064327485,0.385964912280702,0
0.0175438596491228,0.245614035087719,0
0.0175438596491228,0.333333333333333,0
0.00584795321637427,0.43859649122807,0
0.0116959064327485,0.298245614035088,0
0.0175438596491228,0.421052631578947,0
0.0116959064327485,0.333333333333333,0
0.0175438596491228,0.403508771929825,0
0,0.298245614035088,2.44765496759669e-09
0.0116959064327485,0.333333333333333,0
0.0175438596491228,0.315789473684211,0
0.0292397660818713,0.385964912280702,0
0.0116959064327485,0.333333333333333,0
0.0233918128654971,0.385964912280702,0
0.0175438596491228,0.245614035087719,0
0.0233918128654971,0.298245614035088,0
0.00584795321637427,0.350877192982456,0
0.0116959064327485,0.298245614035088,0
0.0116959064327485,0.368421052631579,0
0.0116959064327485,0.315789473684211,0
0.00584795321637427,0.385964912280702,0
0.0116959064327485,0.315789473684211,0
0.0233918128654971,0.350877192982456,0
0.00584795321637427,0.315789473684211,0
0.0175438596491228,0.403508771929825,0
0.0175438596491228,0.350877192982456,0
0.0116959064327485,0.315789473684211,0
0.00584795321637427,0.421052631578947,0
0,0.333333333333333,2.61679566904149e-11
0,0.228070175438596,5.08128258158713e-06
0.00584795321637427,0.228070175438596,0
0.00584795321637427,0.368421052631579,0
0.0233918128654971,0.280701754385965,0
0.0175438596491228,0.333333333333333,0
0.0175438596491228,0.245614035087719,0
0.0116959064327485,0.385964912280702,0
0.00584795321637427,0.403508771929825,0
0.00584795321637427,0.333333333333333,0
0.0175438596491228,0.421052631578947,0
0.0175438596491228,0.333333333333333,0
