"batch","celltype"
1.22265359857222,1.2356129551489
1.73030596599666,2.71470196212466
1.14553900401521,1.14636173573099
1.25963719418067,1.3787950969935
1.17433806015904,1.17469739891023
1.30711907522906,1.86523673336461
1.19047712649835,1.19153625074693
1.36581077801082,1.36909726706505
1.82937884408451,2.9793457540815
1.28561609836227,1.31274199669162
1.09609611819315,1.1124686324657
1.18424471111554,1.20300405435873
1.54924679469616,1.5747283418752
1.83898124469076,1.95721759398927
1.90576966695437,2.92959199891134
1.99632255157127,2.09255727681069
1.06226704968207,1.06230473174156
1.61832157196835,2.6306901385092
1.99943743083523,2.01967910644318
1.15404265609836,1.15427490485142
1.99987096426971,2.02037692263568
1.79429621783975,1.80830867276572
1.1087568040483,1.10960248217991
1.33390515057776,1.33524196685325
1.24290166106046,1.24326388072708
1.17706221408088,1.19882120398102
1.96992136590102,2.23861854053356
1.17575488633394,1.17597648426418
1.19092183546036,1.19110462534059
1.13053241056222,1.13053241056222
1.06726910516196,1.06726910516196
1.38676929387774,1.39391100646269
1.12865566647826,1.12865566647826
1.09116726672251,1.09116726672251
1.35005799377795,1.35266683129977
1.03511573341006,1.03511573341006
1.09284126044309,1.09284126044309
1.39424794788967,1.39658005605025
1.62410496198602,1.62447606255457
1.74237386321228,2.39741099432832
1.03781450295861,1.03781450295861
1.33554609331478,1.33799308503182
1.07444212536583,1.07444212536583
1.35203027158577,1.36130904750815
1.18009824500679,1.19772932895547
1.27117322075705,2.27695417097033
1.38591800962531,1.39658893291299
1.24031052681986,1.25557098606556
1.68237405825036,1.68248046247433
1.07241363180796,1.07242059824439
1.06218285895794,1.06220181740034
1.05203417097059,1.05204807694428
1.5097512860873,1.51550281232978
1.50725363491703,1.50729859223159
1.12376618674446,1.12376618674446
1.0306489133092,1.03066006804207
1.40421411874152,1.40574406210093
1.20169595951063,1.20900277466356
1.05225786246346,1.0523042922354
1.34678137671357,1.3519994436386
1.23215748531807,1.23230101889218
1.25306754905576,1.25316657269669
1.0295616753199,1.02956835598303
1.42139155201191,2.52598434808783
1.05323828184525,1.05323828184525
1.4537307717713,1.45402973069024
1.196230295195,1.19640132448413
1.15401945025792,1.15401945025792
1.03070639842183,1.03070639842183
1.04298705126767,1.0430067743024
1.03431816440712,1.03433400364023
1.1826411116986,1.18281284151182
1.74592945500882,2.75512781670576
1.08605885823849,1.08618232794748
1.47567542291785,1.48182000623773
1.09604460041602,1.09609660626633
