"batch","celltype"
1.00073222765856,1.00073222765856
1.57934779645188,2.91148578186547
1.00000977523358,1.00000977523358
1.00013889328596,1.00013889328596
1.00000464917863,1.00000464917863
1.65709118756039,2.94348277057517
1.00009656651449,1.00009656651449
1.00001716635811,1.00001716635811
1.65211161890489,2.93261670041339
1.00788324193416,1.00788324193416
1.00017728779051,1.00017728779051
1.00747223750072,1.00747223750072
1.00008941295811,1.00008941295811
1.00011242384348,1.00011242384348
1.71488000581398,2.87432674791128
1.00004637402621,1.00004637402621
1.00005054665589,1.00005054665589
1.61603118513777,3.07727058479348
1.00016023655023,1.00016023655023
1.00001323236259,1.00001323236259
1.00010133560163,1.00010133560163
1.00008524008728,1.00008524008728
1.00010372015104,1.00010372015104
1.00011886225567,1.00011886225567
1.02134851891482,1.02134851891482
1.00088410541909,1.00088410541909
1.19535617683302,1.3836260514801
1.01417961869564,1.01417961869564
1.00050820399998,1.00050820399998
1.00281539308492,1.00281539308492
1.00535175057645,1.00535175057645
1.90550061835408,1.90550061835408
1.0269409248702,1.0269409248702
1.00356317672699,1.00356317672699
1.01174956068569,1.01174956068569
1.00007379463656,1.00007379463656
1.0072041977222,1.0072041977222
1.19153974725581,1.19153974725581
1.04406344569617,1.04406344569617
1.63773119312336,2.66963833883547
1.00064857539196,1.00064857539196
1.0093311949952,1.0093311949952
1.00737472354486,1.00737472354486
1.61002405324527,1.61002405324527
1.01058458915917,1.01058458915917
1.76199881840895,2.90914988834374
1.20898439416762,1.20898439416762
1.03538043255193,1.03538043255193
1.00191384549397,1.00191384549397
1.00043865560515,1.00043865560515
1.00126153234232,1.00126153234232
1.00032886031093,1.00032886031093
1.17667902086035,1.17667902086035
1.00412885100005,1.00412885100005
1.00120283269676,1.00120283269676
1.00008249792774,1.00008249792774
1.00012124686455,1.00012124686455
1.00169898623634,1.00169898623634
1.00007892121599,1.00007892121599
1.01836381553491,1.01836381553491
1.02119063269784,1.02119063269784
1.00024394683131,1.00024394683131
1.00026052318878,1.00026052318878
1.70107510729869,2.9727378277793
1.00007963656715,1.00007963656715
1.01093629971681,1.01093629971681
1.24412081265517,1.24412081265517
1.00221817336489,1.00221817336489
1.00029928246603,1.00029928246603
1.00057406096482,1.00057406096482
1.00005448087248,1.00005448087248
1.00074261033227,1.00074261033227
1.69199859958335,2.99624279036407
1.00096319093788,1.00096319093788
1.00049364953062,1.00049364953062
1.00027364147506,1.00027364147506
1.00008416707177,1.00008416707177
1.00003469080523,1.00003469080523
1.00000476838854,1.00000476838854
1.00011242383872,1.00011242383872
1.00002753791464,1.00002753791464
1.58904432591171,1.761609210398
1.00003647903913,1.00003647903913
1.00026231203118,1.00026231203118
1.00011170846378,1.00011170846378
1.00001168261265,1.00001168261265
1.00068664126672,1.00068664126672
1.00005305024779,1.00005305024779
1.0000286108447,1.0000286108447
1.00004112847438,1.00004112847438
1.00002074273828,1.00002074273828
1.99919536312285,2.80059022154774
1.00001537817561,1.00001537817561
1.00014664354864,1.00014664354864
1.72434641834904,1
1.72828820186789,1
1.8723776294991,1
1.70062131633511,1
1.92722822699957,1
1.26013030751431,1
1.70085943263859,1
1.99901426762128,1
1.43845870067148,1
1.91019370164518,1
1.6752985110573,1
1.77857191906229,1
1.96802652044939,1
1.96105187448436,1
1.97009543543384,1
1.93379263150582,1
1.73276536087896,2.90627876975681
1.94363620260522,1
1.76355818747982,1
1.75257536443203,1
1.83138456271958,1
1.7821257673365,2.86560184957213
1.99594368363397,1
1.77103894832866,2.12483715590317
1.91976466507907,2.82828689312354
1.56186988198071,1.0000001192093
1.66792715645369,1
1.79064865604554,1
1.2419422422448,1
1.80590192247313,2.95475615137102
1.88622733924116,2.81617396771698
1.16912310001922,1
1.14706895176272,1
1.195839556359,1
1.61895635785731,1.0000001192093
1.7907307926362,1
1.16717027308695,1
1.75576419936196,1
1.3693042201562,1
1.13414004972858,1.0000001192093
1.14268248840949,1.0000001192093
1.13073597908552,1.0000001192093
1.14869666063133,1
1.19417474200282,1
1.27738449659864,1
1.17512772660382,1
1.65010320388783,1
1.73763607375946,1
1.28106375256731,1
1.23621944064148,1.0000001192093
1.93256865558446,1
1.64754166407201,1
1.68050112785922,1
1.57873426125592,1
1.30290342240844,1
1.84979468061601,1
1.5147751196898,1.0000001192093
1.88313516023827,2.81672149987481
1.57412930173488,1
1.53512138275397,1
1.1448345199044,1
1.93802752473077,1
1.65799760454697,1
1.20740311529378,1
1.63512810706097,2.01077951572457
1.96660800736276,1
1.90753606038956,1
1.71041903936847,1
1.98200465251793,1.0000001192093
1.57502086803026,1
1.97000006927848,1
1.60094114317339,1
1.58565440250953,1
1.97572534061819,1
1.96891069367503,1.97136444361551
1.90124519928169,1
1.77733453572275,1
1.94373984251299,1
1.58990599429878,1
1.99292933171532,1
1.99047704780355,1.0000001192093
1.83894234171473,1.0000001192093
1.6322498332607,1
1.97599305932099,1.98108846804795
1.9151540707744,1
1.60113338590211,1
1.99999856948955,1
1.9965828728312,1
1.84687768085259,1
1.99981959301507,1
1.47550563664897,1
1.7621266747642,1
1.99709046580134,1.0000001192093
1.94366361741009,1
1.9061765768034,1
1.8839827119833,1
1.89619277828506,1
1.4995541622195,1
1.57667447422722,1.0000001192093
1.99892483367329,1
1.60017253828774,1.95395441204576
1.99804354552234,1
1.0153847377317,1.23297574377635
1.99696323138938,1
1.36223926370686,1
1.89341306248595,1
1.80512944108093,1
1.69996748070041,1
1.81628751395139,1
1.88738565774676,1
1.96525311591309,1
1.54348641902732,1.97096148357848
1.99792987025383,1
1.55664426235852,1.94961805061956
1.9550859825595,1
1.54638260858585,1
1.80739887723645,1
1.85856041078564,1
1.16101366296472,1
1.23404962792934,1
1.2128903833489,1
1.3666829055925,1
1.46654353771571,1.0000001192093
1.42689944147189,1
1.51608904441471,1
1.17912519500326,1
1.57779178271613,1
1.27467363165118,1
1.34167280431721,1
1.32390402845209,1
1.91756902422401,1
1.4490113353103,1
1.32302703912542,1
1.53793243301116,1.80219969635133
1.15637498341377,1
1.26241620659647,1.0000001192093
1.23721326494314,1
1.20387857593271,1
1.70493831891887,1.8388535059859
1.3557036710288,1
1.47759595736025,1
1.49207761963189,1.0000001192093
1.82794868353734,1.0000001192093
1.5631608985418,1.68496526567715
1.20993764563232,1
1.35983026332001,1
1.45114976833243,1.0000001192093
1.79093846123464,1
1.72217169090085,1.0000001192093
1.83897277861803,1
1.58847025174881,1
1.78187604108819,1
1.4551076933438,1.0000001192093
1.87645072634077,1
1.54360864559453,1
1.87396598874267,1.0000001192093
1.55369975083314,1
1.66447830321633,1
1.99971620295768,1
1.76087246292056,1
1.66969620518976,1.8543206042242
1.20370185526278,1.0000001192093
1.29139749338072,1
1.99787312668686,1
1.96668903980607,1
1.99255127721997,1
1.92878886391407,1
1.7495795437084,1
1.5764047281761,1.97340348292276
1.88292376125593,1
1.98336182179906,1
1.82968309330571,1
1.61544025951569,2.08307104997688
1.51260075969974,1
1.53403804537043,1.73929287204671
1.71556483729934,1
1.62895243380803,2.53039357875272
1.6276587437684,2.25651301338389
1.95363560827391,1.0000001192093
1.29455044859496,1.0000001192093
1.85095043128206,1
1.953772682168,1
1.8421504779406,1
1.09554147856992,1
1.60355014952026,1.0000001192093
1.95138500375803,1
1.50348628604232,1.0000001192093
1.32053093227584,1
1.7345606145437,1.0000001192093
1.39519234639117,1
1.56923657785893,1
1.85004537112522,1
1.92747432683378,1.0000001192093
1.85663965054855,1
1.84449746391735,1
1.80731043457476,1
1.99188611003227,1.99344850249655
1.72316455090352,1
1.71614183253474,1
1.90489888905983,1
1.49153926090167,1
1.67031679334964,1.0000001192093
1.87443251439924,1
1.64064781969408,1
1.99547452851544,1.0000001192093
1.50956918801287,1
1.37364582660551,1
1.95209681028207,1
1.74986184175359,1
1.98814917420792,1
1.96299399707386,1
1.84297266554217,1
1.84633155140477,1
1.75614881324685,1
1.89758677223622,1
1.42251644992663,1
1.97388178703946,1
1.5249457835217,1
1.92375842310714,1.0000001192093
1.96625629100593,1
1.79991779404821,1.0000001192093
1.72872597436584,1
1.95587949631476,1
1.99835816806623,1.96350498661821
1.81959846739007,1
1.59099104031778,1
1.59265564237685,1
1.88989107160468,1.0000001192093
1.91136847726634,1.0000001192093
1.97019861940494,1
1.81623570348166,1.0000001192093
1.74528385034808,1
1.78369412309484,2.77886620329327
1.98700516301431,1
1.87901224273777,1.0000001192093
1.76552727413549,1
1.76157316527678,1
1.92966381415105,1
1.85046689440488,1.0000001192093
1.37990569559497,1
1.99574181010096,1
1.58584120182898,2.94055462330554
1.79554681867918,1
1.43404388818061,1
1.56989283370096,1
1.81117250291868,1.0000001192093
1.98230224007194,1
1.79583840386627,1
1.83290793499379,1
1.79249560919953,1
1.89209128543432,1
1.75244827252314,1
1.79130110666432,2.73978323098688
1.82613004764046,2.7053098972272
1.97638866183382,1
1.89182437821747,1
1.96128691357303,1.0000001192093
1.82566289163917,1
1.82443554567355,1
1.71926906949795,1
1.5123448732917,1
1.85245062442665,1
1.94784408960954,2.11872862174056
1.75824182273368,1
1.95890245895897,1
1.97271968513321,1
1.86440482834294,1
1.75932300335546,1
1.81174534895485,1
1.91223063299439,1
1.79257726890741,1
1.50733374302988,1
1.99629487824046,1.97216541021491
1.9287961814535,1
1.99750680975022,1.98546844435303
1.99860646138279,1
1.54197672446569,1
1.63761157958131,1
1.97047832313831,2.07184678057246
1.61764140732653,1.0000001192093
1.42091510969929,1
1.80106842389796,1
1.58942831096018,1
1.9918849867149,1
1.92736150943652,1
1.91935061643773,1
1.58779908942996,1
1.9932017926586,1
1.59990665980347,1.0000001192093
1.92985464937634,1
1.39233390558012,1.0000001192093
1.92568558551589,1
1.532989327766,1
1.98236747186828,1
1.97636287708647,1
1.6711070241769,1
1.69087329704811,1
1.56847045692297,1.00118360562459
1.83196709206185,1
1.9882258654521,1
1.68056416925704,1.0000001192093
1.98039303927427,1
1.71569635122144,1
1.97918415120598,1
1.65600254699527,1.0000001192093
1.55541069407107,1
1.84340621306807,1
1.29438031301205,1.31536885995159
1.9942545122518,1
1.78810891704725,1
1.34711392716864,1
1.58574545008765,1
1.25698865728815,1
1.89152598362566,1
1.3356891033958,1.0000001192093
1.39140635699251,1
1.62980847021987,1
1.25159336362764,1
1.46025944414602,1.0000001192093
1.72581048953079,2.42407173737049
1.52577464299912,1.0000001192093
1.19481883749555,1.0000001192093
1.4440525366223,1.0000001192093
1.9905546272636,1
1.33466914211776,1
1.94810871611831,1
1.20837115901476,1
1.26822189213516,1
1.44939317620038,1
1.6861533997678,1
1.83919869325064,1
1.93492732986523,1
1.26223158179471,1
1.81438313788506,1
1.02822521395393,1.04222034786039
1.7733611385705,1
1.2886645007769,1
1.3226344011201,1
1.44661457788814,1
1.19913046604752,1
1.47457633338092,1
1.46925511647993,1.0000001192093
1.68698799308517,1.0000001192093
1.23663820271819,1.28364912854902
1.3741999522933,1.0000001192093
1.43980401942438,1
1.58041931181689,1
1.80704895388176,1.0000001192093
1.99781876532829,1.0000001192093
1.39760194904733,1
1.58485392449189,1.0000001192093
1.19702435728391,1.0000001192093
1.90564882378217,1
1.5678756260847,1
1.67268977280819,1
1.28112952063342,1
1.01512422036567,1.02333104004208
1.53436012861475,1
1.4808190853295,1
1.9770104350563,1
1.91291284777172,1
1.44949862179744,1
1.47416060360902,1
1.31484266091473,1
1.63673479417212,1
1.49683022822977,1
1.2966877930105,1
1.96827224009304,1
1.47108305067499,1.501476000952
1.33967718448589,1.0000001192093
1.51615336140686,1
1.94933649399782,1
1.20217622749464,1
1.72455823026647,1
1.53213305955,1
1.65712719606097,1
1.87787410755048,1
1.05195000540385,1.11679653266093
1.06583521403953,1.18893355660255
1.15383250361542,1.43349563852656
1.41497925004598,1.68822735319684
1.15174265181708,1.29724593495569
1.00088899942398,1.04356831644611
1.03392870577063,1.14006262797387
1.00311845469123,1.01845923501636
1.26473198149952,1.59615082038452
1.02640713803678,1.09931167943161
1.13797306471486,1.44109862111348
1.10059867834876,1.18107060272773
1.75918969685104,1.75918969685104
1.31556210039122,1.48569908527811
1.0029528971576,1.03708739752163
1.31546182236465,1.41762693680838
1.0437597203205,1.11589545214032
1.00312228707394,1.01838378367076
1.01601190069768,1.06309668385267
1.01727706602824,1.07219982428418
1.04022002834976,1.11392704608509
1.04603517742563,1.15249600907903
1.22949227228766,1.35705028864589
1.0136175733275,1.17660473383111
1.03710252129245,1.15112926970893
1.0010326745973,1.01792653745326
1.02546331485024,1.18235292059414
1.01514250720452,1.25816996787087
1.00265888681864,1.04086617770902
1.13683179724845,1.29887036612435
1.47506089138937,1.83054801277843
1.00086512620977,1.01586222553744
1.37770935841731,1.47502537392655
1.05985564946582,1.15973546411388
1.0047526882281,1.04874247628477
1.00095674434751,1.0120464512224
1.79457916673586,1.79457916673586
1.00263907943248,1.03531327396267
1.03350503516859,1.12582230264447
1.000622443688,1.01624423928995
1.01982284376681,1.27822829696126
1.03942828259663,1.10965518715711
1.00888167906815,1.20597574240533
1.1487572809854,1.25302090937835
1.00198480327899,1.02964404052745
1.09106548435722,1.17593633867736
1.01053051871084,1.04149440799022
1.0040388361699,1.01947262617699
1.01093036174142,1.09674556007662
1.0034507103912,1.01914663182419
1.27987370173317,1.41626443547352
1.77753920283924,1.77753920283924
1.00579681291869,1.16071254495072
1.00093167491062,1.01060795020355
1.19668884891641,1.37878405172465
1.09498186698388,1.21496672802283
1.00228677093088,1.04481985892833
1.00474860626176,1.02415847098616
1.01414218405162,1.24597317000566
1.00616733269263,1.07662178176114
1.02023044340129,1.0716103523642
1.28333308911473,1.37823449936663
1.00217445881704,1.02951847747348
1.01412934052131,1.33488244777148
1.00498131966541,1.02470918197268
1.31826874282546,1.41075491585909
1.00350361587147,1.0430063667696
1.00169803017728,1.01756315594408
1.21440528691813,1.29548706468969
1.01228541636884,1.11387987877165
1.12933165758767,1.21259500033157
1.01001492227254,1.08880307456267
1.00182018348529,1.02862089229507
1.0136203106721,1.0769258622475
1.00512257208747,1.04551212474025
1.0111681878471,1.1059462769064
1.03716947015593,1.12377255165401
1.00182651887893,1.04721133776896
1.02732414544756,1.35029784098579
1.31352437453964,1.72239290984724
1.07330808745633,1.1383673264029
1.02360067641263,1.11079350979633
1.72236745274571,1.72236745274571
1.00613869915554,1.06346283746542
1.017817289281,1.08226827462722
1.18631135185828,1.34490512079615
1.10881735153224,1.24166445685329
1.05921703279059,1.24812042916716
1.51792747707859,1.62080005431257
1.14292583099872,1.30236231559098
1.01088662274179,1.16489513381729
1.03284705319607,1.15204254746599
1.00660354467844,1.06939010018232
1.02707445072912,1.18114388990004
